Cap,Name,Career,Mat,Inn,NO,Runs,HS,Avg,Balls,Mdn,Runs,Wkt,Best,Avg,Ca,St
294,Bruce Yardley,1978083,33,54,4,978,74,19.56,8909,379,3986,126,Jul-98,31.63,31,0
295,Jim Higgs,1978081,22,36,16,111,16,5.55,4752,176,2057,66,7/143,31.17,3,0
296,Trevor Laughlin,1978,3,5,0,87,35,17.4,516,16,262,6,5/101,43.67,3,0
297,Rodney Hogg,1978084,38,58,13,439,52,9.76,7633,230,3503,123,Jun-74,28.48,7,0
298,John Maclean,1978079,4,8,1,79,33*,11.29,0,0,0,0,0,0,18,0
299,Allan Border,1979094,156,265,44,11174,205,50.56,4009,197,1525,39,Jul-46,39.1,156,0
300,Phil Carlson,1979,2,4,0,23,21,5.75,368,10,99,2,Feb-41,49.5,2,0
301,Kevin Wright,1979,10,18,5,219,55*,16.85,0,0,0,0,0,0,31,4
302,Andrew Hilditch,1979085,18,34,0,1073,119,31.56,0,0,0,0,0,0,13,0
303,Peter Sleep,1979090,14,21,1,483,90,24.15,2982,132,1397,31,May-72,45.06,4,0
304,Dav Whatmore,1979,7,13,0,293,77,22.54,30,2,11,0,0,0,13,0
305,Jeff Moss,1979,1,2,1,60,38*,60,0,0,0,0,0,0,0,0
306,Bruce Laird,1979082,21,40,2,1341,92,35.29,18,1,12,0,0,0,16,0
307,Julien Wiener,1979080,6,11,0,281,93,25.55,78,4,41,0,0,0,4,0
308,Graeme Beard,1980,3,5,0,114,49,22.8,259,17,109,1,Jan-26,109,0,0
309,Geoff Lawson,1980089,46,68,12,894,74,15.96,11118,386,5501,180,8/112,30.56,10,0
310,Terry Alderman,1981091,41,53,22,203,26*,6.55,10181,432,4616,170,Jun-47,27.15,27,0
311,Trevor Chappell,1981,3,6,1,79,27,15.8,0,0,0,0,0,0,2,0
312,Martin Kent,1981,3,6,0,171,54,28.5,0,0,0,0,0,0,6,0
313,Mike Whitney,1981092,12,19,8,68,13,6.18,2672,90,1325,39,Jul-27,33.97,2,0
314,Dirk Wellham,1981087,6,11,0,257,103,23.36,0,0,0,0,0,0,5,0
315,Greg Ritchie,1982087,30,53,5,1690,146,35.21,6,0,10,0,0,0,14,0
316,Carl Rackemann,1982091,12,14,4,53,15*,5.3,2719,132,1137,39,Jun-86,29.15,2,0
317,Kepler Wessels,1982085,24,42,1,1761,179,42.95,90,3,42,0,0,0,20,0
318,Tom Hogan,1983084,7,12,1,205,42*,18.64,1436,54,706,15,May-66,47.07,2,0
319,Roger Woolley,1983084,2,2,0,21,13,10.5,0,0,0,0,0,0,7,0
320,Wayne B. Phillips,1983086,27,48,2,1485,159,32.28,0,0,0,0,0,0,52,0
321,John Maguire,1983084,3,5,1,28,15*,7,616,21,323,10,Apr-57,32.3,2,0
322,Greg Matthews,1983093,33,53,8,1849,130,41.09,6271,256,2942,61,5/103,48.23,17,0
323,Steve Smith,1984,3,5,0,41,12,8.2,0,0,0,0,0,0,1,0
324,Dean Jones,1984092,52,89,11,3631,216,46.55,198,15,64,1,01-May,64,34,0
325,David Boon,1984096,107,190,20,7422,200,43.66,36,3,14,0,0,0,99,0
326,Bob Holland,1984086,11,15,4,35,10,3.18,2889,124,1352,34,Jun-54,39.76,5,0
327,Murray Bennett,1984085,3,5,2,71,23,23.67,665,24,325,6,Mar-79,54.17,5,0
328,Craig McDermott,1984096,71,90,13,940,42*,12.21,16586,579,8332,291,Aug-97,28.63,19,0
329,Simon O'Donnell,1985,6,10,3,206,48,29.43,940,37,504,6,Mar-37,84,4,0
330,Dave Gilbert,1985086,9,12,4,57,15,7.13,1647,49,843,16,Mar-48,52.69,0,0
331,Robbie Kerr,1985,2,4,0,31,17,7.75,0,0,0,0,0,0,1,0
332,Merv Hughes,1985094,53,70,8,1032,72*,16.65,12285,499,6017,212,Aug-87,28.38,23,0
333,Geoff Marsh,1985092,50,93,7,2854,138,33.19,0,0,0,0,0,0,38,0
334,Bruce Reid,1985092,27,34,14,93,13,4.65,6244,244,2784,113,Jul-51,24.64,5,0
335,Steve Waugh,198502004,168,260,46,10927,200,51.06,7805,332,3445,92,May-28,37.45,112,0
336,Simon Davis,1986,1,1,0,0,,0,150,4,70,0,0,0,0,0
337,Tim Zoehrer,1986087,10,14,2,246,52*,20.5,0,0,0,0,0,0,18,1
338,Chris Matthews,1986088,3,5,0,54,32,10.8,570,18,313,6,Mar-95,52.17,1,0
339,Greg Dyer,1986088,6,6,0,131,60,21.83,0,0,0,0,0,0,22,2
340,Peter Taylor,1987091,13,19,3,431,87,26.94,2227,101,1068,27,Jun-78,39.56,10,0
341,Mike Veletta,1987090,8,11,0,207,39,18.82,0,0,0,0,0,0,12,0
342,Tim May,1987095,24,28,12,225,42*,14.06,6577,321,2606,75,05-Sep,34.75,6,0
343,Tony Dodemaide,1987092,10,15,6,202,50,22.44,2184,92,953,34,Jun-58,28.03,6,0
344,Ian Healy,1988099,119,182,23,4356,161*,27.4,0,0,0,0,0,0,366,29
345,Trevor Hohns,1989,7,7,1,136,40,22.67,1528,84,580,17,Mar-59,34.12,3,0
346,Mark Taylor,1989099,104,186,13,7525,334*,43.5,42,3,26,1,01-Nov,26,157,0
347,Greg Campbell,1989090,4,4,0,10,6,2.5,951,29,503,13,Mar-79,38.69,1,0
348,Tom Moody,1989092,8,14,0,456,106,32.57,432,19,147,2,Jan-17,73.5,9,0
349,Mark Waugh,199102002,128,209,17,8029,153*,41.82,4853,171,2429,59,May-40,41.17,181,0
350,Shane Warne,199202007,145,199,17,3154,99,17.32,40704,1761,17995,708,Aug-71,25.41,125,0
351,Wayne N. Phillips,1992,1,2,0,22,14,11,0,0,0,0,0,0,0,0
352,Paul Reiffel,1992098,35,50,14,955,79*,26.53,6403,279,2804,104,Jun-71,26.96,15,0
353,Damien Martyn,199202006,67,109,14,4406,165,46.37,348,16,168,2,Jan-00,84,36,0
354,Justin Langer,199302007,105,182,12,7696,250,45.27,6,0,3,0,0,0,73,0
355,Jo Angel,1993095,4,7,1,35,11,5.83,748,24,463,10,Mar-54,46.3,1,0
356,Michael Slater,199302001,74,131,7,5312,219,42.84,25,1,10,1,01-Apr,10,33,0
357,Brendon Julian,1993095,7,9,1,128,56*,16,1098,43,599,15,Apr-36,39.93,4,0
358,Glenn McGrath,199302007,124,138,51,641,61,7.36,29248,1470,12186,563,Aug-24,21.64,38,0
359,Matthew Hayden,199402009,103,184,14,8625,380,50.74,54,0,40,0,0,0,128,0
360,Michael Bevan,1994098,18,30,3,785,91,29.07,1285,30,703,29,Jun-82,24.24,8,0
361,Damien Fleming,199402001,20,19,3,305,71*,19.06,4129,153,1942,75,May-30,25.89,9,0
362,Phil Emery,1994,1,1,1,8,8*,0,0,0,0,0,0,0,5,1
363,Greg Blewett,199502000,46,79,4,2552,214,34.03,1436,60,720,14,02-Sep,51.43,45,0
364,Peter McIntyre,1995096,2,4,1,22,16,7.33,393,10,194,5,3/103,38.8,0,0
365,Stuart Law,1995,1,1,1,54,54*,0,18,1,9,0,0,0,1,0
366,Ricky Ponting,199502012,168,287,29,13378,257,51.85,587,24,276,5,Jan-00,55.2,196,0
367,Brad Hogg,199602008,7,10,3,186,79,26.57,1524,40,933,17,4/133,54.88,1,0
368,Matthew Elliott,199602004,21,36,1,1172,199,33.49,12,1,4,0,0,0,14,0
369,Michael Kasprowicz,199602006,38,54,12,445,25,10.6,7140,245,3716,113,Jul-36,32.89,16,0
370,Jason Gillespie,199602006,71,93,28,1218,201*,18.74,14234,630,6770,259,Jul-37,26.14,27,0
371,Andy Bichel,199702003,19,22,1,355,71,16.9,3336,111,1870,58,May-60,32.24,16,0
372,Shaun Young,1997,1,2,1,4,4*,4,48,3,13,0,0,0,0,0
373,Simon Cook,1997,2,2,2,3,3*,0,224,10,142,7,May-39,20.29,0,0
374,Stuart MacGill,199802008,44,47,11,349,43,9.69,11237,365,6038,208,8/108,29.02,16,0
375,Gavin Robertson,1998,4,7,0,140,57,20,898,19,515,13,Apr-72,39.62,1,0
376,Paul Wilson,1998,1,2,2,0,0*,0,72,2,50,0,0,0,0,0
377,Adam Dale,1998099,2,3,0,6,5,2,348,19,187,6,Mar-71,31.17,0,0
378,Darren Lehmann,199802004,27,42,2,1798,177,44.95,974,36,412,15,Mar-42,27.47,11,0
379,Colin Miller,199802001,18,24,3,174,43,8.29,4091,163,1805,69,May-32,26.16,6,0
380,Matthew Nicholson,1998,1,2,0,14,9,7,150,4,115,4,Mar-56,28.75,0,0
381,Adam Gilchrist,199902008,96,137,20,5570,204*,47.6,0,0,0,0,0,0,379,37
382,Scott Muller,1999,2,2,2,6,6*,0,348,8,258,7,Mar-68,36.86,2,0
383,Brett Lee,199902010,76,90,18,1451,64,20.15,16531,547,9554,310,May-30,30.81,23,0
384,Simon Katich,2001010,56,99,6,4188,157,45.03,1039,15,653,21,Jun-65,30.23,39,0
385,Martin Love,2002003,5,8,3,233,100*,46.6,0,0,0,0,0,0,7,0
386,Brad Williams,2003004,4,6,3,23,10*,7.66,852,0,406,9,Apr-53,45.1,4,0
387,Nathan Bracken,2003005,5,6,2,70,37,17.5,1110,53,505,12,Apr-48,42.08,2,0
388,Andrew Symonds,2004009,26,41,5,1462,162*,40.61,2094,81,896,24,Mar-50,37.22,22,0
389,Michael Clarke,2004015,115,198,22,8643,329*,49.1,2435,62,1184,31,06-Sep,38.19,134,0
390,Nathan Hauritz,2004010,17,24,7,426,75,25.05,4200,143,2205,63,May-53,34.98,3,0
391,Shane Watson,2005015,59,99,3,3731,176,35.2,5495,240,2526,75,Jun-33,33.68,45,0
392,Shaun Tait,2005008,3,5,2,20,8,6.66,414,6,302,5,Mar-97,60.4,1,0
393,Michael Hussey,2005013,79,137,16,6235,195,51.52,588,4,306,7,Jan-00,43.71,85,0
394,Brad Hodge,2005008,6,11,2,503,203*,55.88,12,0,8,0,0,0,9,0
395,Phil Jaques,2005008,11,19,0,902,150,47.47,0,0,0,0,0,0,7,0
396,Stuart Clark,2006009,24,26,7,248,39,13.05,5146,230,2243,94,May-32,23.86,4,0
397,Dan Cullen,2006,1,0,0,0,0,0,84,0,54,1,Jan-25,54,0,0
398,Mitchell Johnson,2007015,73,109,16,2065,123*,22.2,16001,514,8891,313,Aug-61,28.4,27,0
399,Chris Rogers,2008015,25,48,1,2015,173,42.87,0,0,0,0,0,0,15,0
400,Brad Haddin,2008015,66,112,13,3266,169,32.98,0,0,0,0,0,0,262,8
401,Beau Casson,2008,1,1,0,10,10,10,192,4,129,3,Mar-86,43,2,0
402,Cameron White,2008,4,7,2,146,46,29.2,558,8,342,5,Feb-71,68.4,1,0
403,Peter Siddle,20080,62,86,14,1063,51,14.76,12941,575,6314,211,Jun-54,29.92,16,0
404,Jason Krejza,2008,2,4,1,71,32,23.66,743,8,562,13,8/215,43.23,4,0
405,Doug Bollinger,2009010,12,14,7,54,21,7.71,2401,78,1296,50,May-28,25.92,2,0
406,Andrew McDonald,2009,4,6,1,107,68,21.4,732,40,300,9,Mar-25,33.33,2,0
407,Ben Hilfenhaus,200902012,27,38,12,355,56*,13.65,6078,258,2822,99,May-75,28.5,7,0
408,Phillip Hughes,2009013,26,49,2,1535,160,32.65,0,0,0,0,0,0,15,0
409,Marcus North,2009010,21,35,2,1171,128,35.48,1258,37,591,14,Jun-55,42.21,17,0
410,Bryce McGain,2009,1,2,0,2,2,1,108,2,148,0,0,0,0,0
411,Graham Manou,2009,1,2,1,21,13*,21,0,0,0,0,0,0,3,0
412,Clint McKay,2009,1,1,0,10,10,10,168,5,101,1,Jan-56,101,1,0
413,Ryan Harris,201002015,26,37,10,578,74,19.32,5472,233,2528,111,7/117,22.77,13,0
414,Tim Paine,20100,13,22,5,694,92,40.82,0,0,0,0,0,0,56,3
415,Steve Smith,20100,64,117,16,6199,239,61.37,1339,24,933,17,Mar-18,54.88,96,0
416,Peter George,2010,1,2,0,2,2,1,168,3,77,2,Feb-48,38.5,0,0
417,Xavier Doherty,2010013,4,7,3,51,18*,12.75,918,36,548,7,3/131,78.29,2,0
418,Michael Beer,2011012,2,3,1,6,2*,3,406,13,178,3,Feb-56,59.33,1,0
419,Usman Khawaja,20110,33,57,4,2226,174,42,6,0,1,0,0,0,25,0
420,Trent Copeland,2011,3,4,1,39,23*,13,648,34,227,6,Feb-24,37.83,2,0
421,Nathan Lyon,20110,78,99,29,820,47,11.71,19194,589,9859,306,Aug-50,32.21,37,0
422,Shaun Marsh,20110,32,57,2,2068,182,37.6,0,0,0,0,0,0,21,0
423,Pat Cummins,20110,14,22,4,365,44,20.27,3221,115,1572,66,Jun-79,23.81,7,0
424,James Pattinson,20110,17,19,7,332,42,27.66,3279,116,1831,70,May-27,26.15,4,0
425,Mitchell Starc,20110,43,66,12,1171,99,21.68,8986,297,5128,182,Jun-50,28.17,19,0
426,David Warner,20110,74,137,5,6363,253,48.2,342,1,269,4,Feb-45,67.25,54,29
427,Ed Cowan,201102013,18,32,0,1001,136,31.28,0,0,0,0,0,0,24,0
428,Matthew Wade,20120,22,38,7,886,106,28.58,6,1,0,0,0,0,63,11
429,Rob Quiney,2012,2,3,0,9,9,3,150,12,29,0,0,0,5,0
430,John Hastings,2012,1,2,0,52,32,26,234,3,153,1,Jan-51,153,1,0
431,Jackson Bird,20120,9,9,6,43,19*,14.33,1934,80,1042,34,May-59,30.64,2,0
432,Moises Henriques,20130,4,8,1,164,81*,23.42,330,12,164,2,Jan-48,82,1,0
433,Glenn Maxwell,20130,7,14,1,339,104,26.07,462,4,341,8,4/127,42.62,5,0
434,Ashton Agar,20130,4,7,1,195,98,32.5,874,31,410,9,Mar-46,45.55,0,0
435,James Faulkner,2013,1,2,0,45,23,22.5,166,4,98,6,Apr-51,16.33,0,0
436,George Bailey,201302014,5,8,1,183,53,26.14,0,0,0,0,0,0,10,0
437,Alex Doolan,2014,4,8,0,191,89,23.88,0,0,0,0,0,0,4,0
438,Mitchell Marsh,20140,28,47,5,1170,181,27.85,2341,69,1388,33,Apr-61,42.06,14,0
439,Steve O'Keefe,20140,9,13,4,86,25,9.55,2228,68,1029,35,Jun-35,29.4,0,0
440,Josh Hazlewood,20140,40,48,22,337,39,12.96,8662,356,4054,151,Jun-67,26.84,15,0
441,Joe Burns,20140,14,25,0,919,170,36.76,0,0,0,0,0,0,15,0
442,Adam Voges,201502016,20,31,7,1485,269*,61.87,76,1,44,0,0,0,15,0
443,Peter Nevill,20150,17,23,2,468,66,22.28,0,0,0,0,0,0,61,2
444,Jon Holland,20160,2,4,3,1,1,1,492,13,274,5,Feb-72,54.8,0,0
